controller_id,source,timestamp,is_benchmark,SSE,SSdU,J,runtime_s,m,p,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
benchmark_fix,benchmark_fix,,1,14277.859701488251,6.9845492785895837,84123.352487384094,35132.413511999992,6,61,1,55,5,1,0,0,-1000,-1000,-1000,1,1,1
ts_20260201_232106,run1,20260201_232106,0,25298.169209224125,0.3291489042698042,28589.658251922167,372.46417500000018,1,1,1,0,0,-0.90992802540828444,-0.67037343057889875,1.2737344414403255,3,2.2292128151942023,-1.3867082102043962,-1.3604101725110209,-0.82618849325322019,1.2908665566387769
ts_20260202_000115,run1,20260202_000115,0,30464.128850937173,0.045221926819717553,30916.348119134349,398.63683400000002,1,1,1,0,0,0.8577584366226787,-1.9076927873132901,-2.5768148461171005,3,2.63149759317945,-3,0.093181698079940492,-0.5714997148191705,3
ts_20260201_223337,run1,20260201_223337,0,38317.724997114354,0.17830707526151635,40100.795749729514,419.69507800000019,1,1,1,0,0,-2.1931127477813974,-2.152070115203613,-1.7585766179075693,3,3,-3,-0.88659893865231287,-0.62419434530255102,3
ts_20260210_154010,run2,20260210_154010,0,24145.37964234937,0.071428772292954884,24859.667365278918,3881.2836280000001,1,3,1,2,0,0,-0.48909054889592229,0.34845471556065138,-1000,-1000,-1000,2.973435007542176,3,0.84184393526003354
ts_20260201_192807,run1,20260201_192807,0,19456.786375463776,0.54093068350135398,24866.093210477316,3573.7334760000003,1,1,1,0,0,-3,0.75445351997274068,2.169787457107538,3,3,0.16122502848209469,3,-0.084769265107001016,3
ts_20260211_134235,run2,20260211_134235,0,23174.572505865141,1.0960239970341306,34134.812476206447,6722.3410800000001,1,10,1,9,0,0,-1.6478556864609661,-1.3121166848680101,-1000,-1000,-1000,1.7703268854865497,0.087291127258841431,-0.16399673253129662
ts_20260210_171107,run2,20260210_171107,0,16642.493628587425,1.0618826080023236,27261.319708610659,6637.3654440000009,1,16,1,15,0,0,-3,-0.65668698906566147,-1000,-1000,-1000,-2.1940834054561957,-3,0.72233903999016824
ts_20260210_180826,run2,20260210_180826,0,14253.605990524949,0.94853074874402166,23738.913477965165,3815.6214609999988,1,13,1,12,0,0,-2.7156205921563439,-1.0784909234250399,-1000,-1000,-1000,-1.1840386462208228,-0.78486922088134525,0.80781434860741308
ts_20260210_151703,run2,20260210_151703,0,14594.450184464586,0.85399497818135939,23134.399966278179,2589.8173500000003,1,16,1,15,0,0,-2.3901973206538432,-1.4387339006711999,-1000,-1000,-1000,-2.2856190361395989,0.26690690510666537,0.40227524108226104
ts_20260211_122653,run2,20260211_122653,0,14761.549217955893,2.4718552880579048,39480.102098534946,1331.7148290000002,1,15,1,14,0,0,-2.6397444552424729,-1.3437833442182745,-1000,-1000,-1000,-1.7135838225171744,-0.82553336888426032,-2.6485516937355524
ts_20260210_171107_modified,run2,20260210_171107,0,16415.136313539031,1.1563651684080281,27978.787997619311,1312.5123139999998,1,16,1,15,0,0,-3,-0.65668698906566147,-1000,-1000,-1000,-2.1940834054561957,-3,0.72233903999016824
ts_20260201_192807_modified,run1,20260201_192807,0,19456.724542605247,0.54084456927843383,24865.170235389585,498.18925199999978,1,1,1,0,0,-3,0.75445351997274068,2.169787457107538,3,3,0.16122502848209469,3,-0.084769265107001016,3
ts_20260202_000115_modified,run1,20260202_000115,0,30464.129185531456,0.045221866227594651,30916.347847807403,466.19961799999987,1,1,1,0,0,0.8577584366226787,-1.9076927873132901,-2.5768148461171005,3,2.63149759317945,-3,0.093181698079940492,-0.5714997148191705,3
ts_20260210_154010_modified,run2,20260210_154010,0,24146.78982376714,0.071691705852544446,24863.706882292583,569.8868980000002,1,3,1,2,0,0,-0.48909054889592229,0.34845471556065138,-1000,-1000,-1000,2.973435007542176,3,0.84184393526003354
ts_20260201_232106_modified,run1,20260201_232106,0,25298.132470742567,0.32915274814299977,28589.659952172566,430.75530600000013,1,1,1,0,0,-0.90992802540828444,-0.67037343057889875,1.2737344414403255,3,2.2292128151942023,-1.3867082102043962,-1.3604101725110209,-0.82618849325322019,1.2908665566387769
ts_20260201_192807_modified,run1,20260201_192807,0,19456.724542605247,0.54084456927843383,24865.170235389585,498.18925199999978,1,1,1,0,0,-3,0.75445351997274068,2.169787457107538,3,3,0.16122502848209469,3,-0.084769265107001016,3
ts_20260211_134235_modified,run2,20260211_134235,0,23152.120774292674,1.2872004725340951,36024.125499633621,1039.753565,1,10,1,9,0,0,-1.6478556864609661,-1.3121166848680101,-1000,-1000,-1000,1.7703268854865497,0.087291127258841431,-0.16399673253129662
ts_20260211_122653_modified,run2,20260211_122653,0,14490.965911824107,4.7723786142160023,62214.752053984135,2466.0249299999996,1,15,1,14,0,0,-2.6397444552424729,-1.3437833442182745,-1000,-1000,-1000,-1.7135838225171744,-0.82553336888426032,-2.6485516937355524
